,Program,Round ,Recipient Name,Physical Address of Recipient - Suburb/Location,Physical Address of Recipient - Post Code,University Collaborator (if applicable),Other Partners; Collaborators (if applicable),Investment/Project Title,Primary Location of Activity/Project - Suburb,Primary Location of Activity/Project - Post Code,Multiple Locations of Activity/Project (if applicable),Approval date,Local Government /Council,RAP Region,State Electorate,Actual Contractual Commitment ($)
331,Ignite Ideas Fund,AQ Ignite Ideas Fund 2020-21 Round 7,GB Operations Pty Ltd,Birtinya,4575.0,,,GreaseBoss Industry Trials and Market Launch,Birtinya,4575.0,,2/12/2020,Sunshine Coast (R),Sunshine Coast,Kawana,100000.0
332,Ignite Ideas Fund,AQ Ignite Ideas Fund 2020-21 Round 7,Fiffy Solutions Pty Ltd,West End,4101.0,,,Commercialisation of People Counting Solution,St Lucia,4067.0,,2/12/2020,Brisbane (C),Brisbane and Redlands,South Brisbane,100000.0
333,Ignite Ideas Fund,AQ Ignite Ideas Fund 2021-22 Round 8,Hoops Crm Pty Ltd,Warana,4575.0,,,"Business Management Software for Print, Promo and Decorated Apparel Businesses",Warana,4575.0,,20/12/2021,Sunshine Coast (R),Sunshine Coast,Kawana,100000.0
334,Ignite Ideas Fund,AQ Ignite Ideas Fund 2022-23 Round 9,Ordo Enterprises Pty Ltd,Peregian Beach,4573.0,,,"Commercialising ORDO, a Mining Supervisor's Shift Planning Digital Toolkit",Peregian Beach,4573.0,,1/11/2022,Noosa (S),Sunshine Coast,Noosa,100000.0
335,Ignite Ideas Fund,AQ Ignite Ideas Fund 2022-23 Round 9,My Virtual Freight Forwarder Pty Ltd,Redland Bay,4165.0,,,All-in-one digital freight management platform for small cargo importer businesses,Redland Bay,4165.0,,1/11/2022,Redland (C),Brisbane and Redlands,Redlands,100000.0
336,Ignite Ideas Fund,AQ Ignite Ideas Fund 2022-23 Round 9,Predico Software Pty Ltd,Brisbane City,4000.0,,,Data Driven AI for Resource Optimisation,Brisbane,4000.0,,1/11/2022,Brisbane (C),Brisbane and Redlands,McConnel,177000.0
337,Ignite Ideas Fund,AQ Ignite Ideas Fund 2022-23 Round 9,PEMDx Pty Ltd,South Brisbane,4101.0,,,Flow-Bag Oxygen Mask Respiratory Indicator,South Brisbane,4101.0,,1/11/2022,Brisbane (C),Brisbane and Redlands,South Brisbane,100000.0
338,Ignite Ideas Fund,AQ Ignite Ideas Fund 2022-23 Round 9,Layer Labs Pty Ltd,Bowen Hills,4006.0,,,Digital IP Licensing Marketplace for Video Gaming Industry,Bowen Hills,4006.0,,1/11/2022,Brisbane (C),Brisbane and Redlands,McConnel,200000.0
339,Ignite Ideas Fund,AQ Ignite Ideas Fund 2022-23 Round 9,Laronix Pty Ltd,Brisbane City,4000.0,,,Commercialising Voice Technology Supporting Phone/Online Communication in Voice-Impaired Communities,Brisbane City,4000.0,,1/11/2022,Brisbane (C),Brisbane and Redlands,McConnel,197950.0
340,Ignite Ideas Fund,AQ Ignite Ideas Fund 2022-23 Round 9,Mineral Fox Pty Ltd,Coolum Beach,4573.0,,,Commercialisation of Mineral Fox Botanicrete to the Australian Market,Coolum Beach,4573.0,,1/11/2022,Sunshine Coast (R),Sunshine Coast,Ninderry,100000.0
341,Ignite Ideas Fund,AQ Ignite Ideas Fund 2022-23 Round 9,Liquid State Pty Ltd,Stones Corner,4120.0,,,"Patient-centred platform for chronic disease self-monitoring, management, and communication",Stones Corner,4120.0,,1/11/2022,Brisbane (C),Brisbane and Redlands,Greenslopes,100000.0
342,Ignite Ideas Fund,AQ Ignite Ideas Fund 2022-23 Round 9,S4S Trading Pty Ltd,Rochedale,4123.0,,,Switch4Schools - student mental health and wellbeing,Rochedale,4123.0,,1/11/2022,Brisbane (C),Brisbane and Redlands,Mansfield,100000.0
343,Ignite Ideas Fund,AQ Ignite Ideas Fund 2022-23 Round 9,Voltin Operations Pty Ltd,Virginia,4014.0,,,"10,000 Safer Cities - Autonomous Façade Assessment System",Virginia,4014.0,,1/11/2022,Brisbane (C),Brisbane and Redlands,Nudgee,100000.0
344,Ignite Ideas Fund,AQ Ignite Ideas Fund 2022-23 Round 9,Townlec Auto Electrical Pty Ltd,Garbutt,4814.0,,,Commercialising LokaBox,Garbutt,4814.0,,1/11/2022,Townsville (C),Townsville,Townsville,100000.0
345,Ignite Ideas Fund,AQ Ignite Ideas Fund 2022-23 Round 9,WDU Enterprises Pty Ltd,Burbank,4156.0,,,"Modular, scalable & flat-packable commercial (large-scale) worm farms",Burbank,4156.0,,1/11/2022,Brisbane (C),Brisbane and Redlands,Mansfield,92940.0
346,Ignite Ideas Fund,AQ Ignite Ideas Fund 2022-23 Round 9,Watergum Community Inc,Burleigh Heads,4220.0,,,Watergum Cane Toad Tadpole Trap and Lures,Burleigh Heads,4220.0,,1/11/2022,Gold Coast (C),Gold Coast,Burleigh,200000.0
347,Ignite Ideas Fund,AQ Ignite Ideas Fund 2022-23 Round 9,Stackle Pty Ltd,Seven Hills,4170.0,,,Stackle for Innovating and Personalising Online Learning,Seven Hills,4170.0,,1/11/2022,Brisbane (C),Brisbane and Redlands,Bulimba,98500.0
